time,temp
2025-12-02T00:00,11.8
2025-12-02T01:00,11.8
2025-12-02T02:00,11.9
2025-12-02T03:00,13.1
2025-12-02T04:00,15.8
2025-12-02T05:00,18.8
2025-12-02T06:00,20.8
2025-12-02T07:00,22.2
2025-12-02T08:00,23.2
2025-12-02T09:00,23.5
2025-12-02T10:00,23.3
2025-12-02T11:00,22.4
2025-12-02T12:00,19.9
2025-12-02T13:00,17.9
2025-12-02T14:00,17.2
2025-12-02T15:00,16.8
2025-12-02T16:00,16.4
2025-12-02T17:00,15.7
2025-12-02T18:00,14.9
2025-12-02T19:00,14.2
2025-12-02T20:00,13.4
2025-12-02T21:00,12.8
2025-12-02T22:00,12.2
2025-12-02T23:00,11.7
